Título,Autor,Ano de publicação,Número de paginas
A arte da Guerra,Sun Tzu, século V a.C.,104
Os Segredos do Lobo,Jordan Belfort,2018,288
Mais Esperto que o Diabo,Napoleon Hill,1938,200
Os Axiomas de Zurique,Max Gunther,1985,176
Cartas de um Diabo a Seu Aprendiz,C.S.Lewis,1942,208
Pai Rico Pai Pobre,Robert Kiyosaki,1997,366
Manual de Persuasão do FBI,Jack Schafer,2015,256
O Corpo Fala,Pierre Weil,1980,288
Salomao o Homem Mais Rico que já Existiu,Stven K. Scott,2020,163
O Principe,Nicolau Maquiavel,1532,176
